origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
4,THBS1,0.505,1,ITGB1,0.505,B2M,0.161,SP140,0.448,
4,THBS1,0.505,1,ITGB1,0.505,EEF1A1,0.182,MYNN,0.059,
4,THBS1,0.505,1,ITGB1,0.505,MALAT1,1,ZEB1,1,
4,THBS1,0.505,1,ITGB1,0.505,RPL10,0.068,ZNF787,0.159,
4,THBS1,0.505,1,ITGB1,0.505,RPL13,0.041,ZNF524,0.268,
4,THBS1,0.505,1,ITGB1,0.505,RPLP1,0.01,ZNF408,0.028,
4,THBS1,0.505,1,ITGB1,0.505,RPS27,0.045,ZNF524,0.268,
4,THBS1,0.505,1,ITGB1,0.505,TMSB4X,0.041,ESR2,0.01,
4,THBS1,0.505,1,ITGB1,0.505,TPT1,0.2,ZNF32,0.183,
4,THBS1,0.505,6,CD47,0.505,EEF1A1,0.029,MYNN,0.045,
4,THBS1,0.505,6,CD47,0.505,HSP90AA1,0.178,ZNF350,0.01,
4,THBS1,0.505,6,CD47,0.505,HSPA1A,0.038,ZNF354A,0.021,
4,THBS1,0.505,6,CD47,0.505,JUND,0.02,EGR3,0.197,
4,THBS1,0.505,6,CD47,0.505,MALAT1,1,BCL11A,1,
4,THBS1,0.505,6,CD47,0.505,MT-CO1,0.012,ZNF227,0.01,
4,THBS1,0.505,6,CD47,0.505,RPL10,0.013,ZNF524,0.034,
4,THBS1,0.505,6,CD47,0.505,RPL13,0.01,ZNF771,0.047,
4,THBS1,0.505,6,CD47,0.505,RPL41,0.022,NKX3-1,0.032,
4,THBS1,0.505,6,CD47,0.505,RPS27,0.014,GTF3A,0.429,
