origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
2,SRGN,0.505,5,GZMB,0.505,ACTB,0.044,ZNF175,0.01,
5,SRGN,0.505,5,GZMB,0.505,ACTB,0.044,ZNF175,0.01,
7,SRGN,0.505,5,GZMB,0.505,ACTB,0.044,ZNF175,0.01,
4,SRGN,0.505,5,GZMB,0.505,ACTB,0.044,ZNF175,0.01,
2,SRGN,0.505,5,GZMB,0.505,B2M,0.211,IFNG,0.527,
7,SRGN,0.505,5,GZMB,0.505,B2M,0.211,IFNG,0.527,
4,SRGN,0.505,5,GZMB,0.505,B2M,0.211,IFNG,0.527,
5,SRGN,0.505,5,GZMB,0.505,B2M,0.211,IFNG,0.527,
2,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.021,ZNF277,0.052,
4,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.021,ZNF277,0.052,
5,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.021,ZNF277,0.052,
7,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.021,ZNF277,0.052,
2,SRGN,0.505,5,GZMB,0.505,GNLY,0.026,SP140L,0.296,
4,SRGN,0.505,5,GZMB,0.505,GNLY,0.026,SP140L,0.296,
7,SRGN,0.505,5,GZMB,0.505,GNLY,0.026,SP140L,0.296,
5,SRGN,0.505,5,GZMB,0.505,GNLY,0.026,SP140L,0.296,
4,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF207,0.564,
7,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF207,0.564,
5,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF207,0.564,
2,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF207,0.564,
2,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.01,CDC5L,0.324,
4,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.01,CDC5L,0.324,
5,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.01,CDC5L,0.324,
7,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.01,CDC5L,0.324,
4,SRGN,0.505,5,GZMB,0.505,RPL10,0.011,KIT,0.043,
5,SRGN,0.505,5,GZMB,0.505,RPL10,0.011,KIT,0.043,
2,SRGN,0.505,5,GZMB,0.505,RPL10,0.011,KIT,0.043,
7,SRGN,0.505,5,GZMB,0.505,RPL10,0.011,KIT,0.043,
5,SRGN,0.505,5,GZMB,0.505,RPL41,0.013,NFAT5,0.107,
2,SRGN,0.505,5,GZMB,0.505,RPL41,0.013,NFAT5,0.107,
4,SRGN,0.505,5,GZMB,0.505,RPL41,0.013,NFAT5,0.107,
7,SRGN,0.505,5,GZMB,0.505,RPL41,0.013,NFAT5,0.107,
2,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.084,SP100,1,
7,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.084,SP100,1,
4,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.084,SP100,1,
5,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.084,SP100,1,
