origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
4,SRGN,0.505,5,GZMB,0.505,ACTB,0.024,CEBPZ,0.992,
5,SRGN,0.505,5,GZMB,0.505,ACTB,0.024,CEBPZ,0.992,
2,SRGN,0.505,5,GZMB,0.505,ACTB,0.024,CEBPZ,0.992,
0,SRGN,0.505,5,GZMB,0.505,ACTB,0.024,CEBPZ,0.992,
1,SRGN,0.505,5,GZMB,0.505,ACTB,0.024,CEBPZ,0.992,
3,SRGN,0.505,5,GZMB,0.505,ACTB,0.024,CEBPZ,0.992,
0,SRGN,0.505,5,GZMB,0.505,B2M,0.157,ZNF318,0.126,
3,SRGN,0.505,5,GZMB,0.505,B2M,0.157,ZNF318,0.126,
2,SRGN,0.505,5,GZMB,0.505,B2M,0.157,ZNF318,0.126,
5,SRGN,0.505,5,GZMB,0.505,B2M,0.157,ZNF318,0.126,
4,SRGN,0.505,5,GZMB,0.505,B2M,0.157,ZNF318,0.126,
1,SRGN,0.505,5,GZMB,0.505,B2M,0.157,ZNF318,0.126,
4,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF318,0.126,
0,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF318,0.126,
5,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF318,0.126,
2,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF318,0.126,
3,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF318,0.126,
1,SRGN,0.505,5,GZMB,0.505,MALAT1,1,ZNF318,0.126,
4,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.016,ZNF770,0.321,
0,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.016,ZNF770,0.321,
5,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.016,ZNF770,0.321,
3,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.016,ZNF770,0.321,
1,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.016,ZNF770,0.321,
2,SRGN,0.505,5,GZMB,0.505,MT-ATP6,0.016,ZNF770,0.321,
3,SRGN,0.505,5,GZMB,0.505,MT-CO1,0.037,ZNF460,0.01,
4,SRGN,0.505,5,GZMB,0.505,MT-CO1,0.037,ZNF460,0.01,
2,SRGN,0.505,5,GZMB,0.505,MT-CO1,0.037,ZNF460,0.01,
0,SRGN,0.505,5,GZMB,0.505,MT-CO1,0.037,ZNF460,0.01,
1,SRGN,0.505,5,GZMB,0.505,MT-CO1,0.037,ZNF460,0.01,
5,SRGN,0.505,5,GZMB,0.505,MT-CO1,0.037,ZNF460,0.01,
0,SRGN,0.505,5,GZMB,0.505,RPL10,0.01,ZNF524,0.479,
2,SRGN,0.505,5,GZMB,0.505,RPL10,0.01,ZNF524,0.479,
3,SRGN,0.505,5,GZMB,0.505,RPL10,0.01,ZNF524,0.479,
4,SRGN,0.505,5,GZMB,0.505,RPL10,0.01,ZNF524,0.479,
1,SRGN,0.505,5,GZMB,0.505,RPL10,0.01,ZNF524,0.479,
5,SRGN,0.505,5,GZMB,0.505,RPL10,0.01,ZNF524,0.479,
5,SRGN,0.505,5,GZMB,0.505,RPS27,0.044,ZNF524,0.479,
3,SRGN,0.505,5,GZMB,0.505,RPS27,0.044,ZNF524,0.479,
1,SRGN,0.505,5,GZMB,0.505,RPS27,0.044,ZNF524,0.479,
4,SRGN,0.505,5,GZMB,0.505,RPS27,0.044,ZNF524,0.479,
2,SRGN,0.505,5,GZMB,0.505,RPS27,0.044,ZNF524,0.479,
0,SRGN,0.505,5,GZMB,0.505,RPS27,0.044,ZNF524,0.479,
2,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.07,ASCL2,1,
4,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.07,ASCL2,1,
5,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.07,ASCL2,1,
0,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.07,ASCL2,1,
1,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.07,ASCL2,1,
3,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.07,ASCL2,1,
