origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
8,THBS1,0.01,0,CD47,0.505,MALAT1,1,CEBPZ,1,
7,THBS1,0.01,0,CD47,0.505,MALAT1,1,CEBPZ,1,
3,THBS1,0.01,0,CD47,0.505,MALAT1,1,CEBPZ,1,
5,THBS1,0.01,0,CD47,0.505,MALAT1,1,CEBPZ,1,
8,THBS1,0.01,0,CD47,0.505,RPL13,0.061,THAP4,0.03,
5,THBS1,0.01,0,CD47,0.505,RPL13,0.061,THAP4,0.03,
3,THBS1,0.01,0,CD47,0.505,RPL13,0.061,THAP4,0.03,
7,THBS1,0.01,0,CD47,0.505,RPL13,0.061,THAP4,0.03,
7,THBS1,0.01,0,CD47,0.505,RPLP1,0.125,ZBTB17,0.01,
5,THBS1,0.01,0,CD47,0.505,RPLP1,0.125,ZBTB17,0.01,
3,THBS1,0.01,0,CD47,0.505,RPLP1,0.125,ZBTB17,0.01,
8,THBS1,0.01,0,CD47,0.505,RPLP1,0.125,ZBTB17,0.01,
8,THBS1,0.01,0,CD47,0.505,RPS16,0.062,MTF1,0.058,
7,THBS1,0.01,0,CD47,0.505,RPS16,0.062,MTF1,0.058,
3,THBS1,0.01,0,CD47,0.505,RPS16,0.062,MTF1,0.058,
5,THBS1,0.01,0,CD47,0.505,RPS16,0.062,MTF1,0.058,
8,THBS1,0.01,0,CD47,0.505,RPS20,0.01,THAP4,0.03,
3,THBS1,0.01,0,CD47,0.505,RPS20,0.01,THAP4,0.03,
5,THBS1,0.01,0,CD47,0.505,RPS20,0.01,THAP4,0.03,
7,THBS1,0.01,0,CD47,0.505,RPS20,0.01,THAP4,0.03,
1,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
10,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
5,SRGN,1,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
6,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
4,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
9,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
8,SRGN,1,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
3,SRGN,1,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
7,SRGN,1,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
0,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
2,SRGN,0.505,2,GZMB,0.505,ACTB,0.01,GABPA,0.231,
8,SRGN,1,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
4,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
7,SRGN,1,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
1,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
10,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
0,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
3,SRGN,1,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
6,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
2,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
5,SRGN,1,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
9,SRGN,0.505,2,GZMB,0.505,CCL5,0.566,RELA,0.469,
5,SRGN,1,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
7,SRGN,1,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
2,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
3,SRGN,1,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
8,SRGN,1,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
10,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
4,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
9,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
6,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
1,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
0,SRGN,0.505,2,GZMB,0.505,GZMA,0.164,FOXB1,0.01,
9,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
4,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
10,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
7,SRGN,1,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
2,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
8,SRGN,1,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
0,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
5,SRGN,1,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
3,SRGN,1,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
6,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
1,SRGN,0.505,2,GZMB,0.505,MALAT1,1,CEBPZ,1,
7,SRGN,1,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
6,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
4,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
9,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
3,SRGN,1,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
1,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
8,SRGN,1,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
0,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
2,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
10,SRGN,0.505,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
5,SRGN,1,2,GZMB,0.505,RPS24,0.025,RREB1,0.436,
7,SRGN,1,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
2,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
8,SRGN,1,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
6,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
9,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
5,SRGN,1,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
0,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
4,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
3,SRGN,1,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
1,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
10,SRGN,0.505,2,GZMB,0.505,TMSB4X,0.349,GATA6,0.032,
0,SRGN,0.505,2,GZMB,0.505,TPT1,0.053,GTF3A,0.55,
7,SRGN,1,2,GZMB,0.505,TPT1,0.053,GTF3A,0.55,
1,SRGN,0.505,2,GZMB,0.505,TPT1,0.053,GTF3A,0.55,
10,SRGN,0.505,2,GZMB,0.505,TPT1,0.053,GTF3A,0.55,
6,SRGN,0.505,2,GZMB,0.505,TPT1,0.053,GTF3A,0.55,
9,SRGN,0.505,2,GZMB,0.505,TPT1,0.053,GTF3A,0.55,
