origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
4,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
3,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
0,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
5,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
2,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
6,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
1,SRGN,0.505,5,GZMB,0.505,ACTB,0.371,MBD3,0.421,
1,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
2,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
0,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
4,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
3,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
6,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
5,SRGN,0.505,5,GZMB,0.505,CCL5,1,JUN,0.609,
0,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
4,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
2,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
3,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
1,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
5,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
6,SRGN,0.505,5,GZMB,0.505,EEF1A1,0.133,BBX,0.196,
5,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
0,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
4,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
1,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
6,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
3,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
2,SRGN,0.505,5,GZMB,0.505,FAU,0.059,NFAT5,0.146,
4,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
0,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
5,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
3,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
1,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
6,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
2,SRGN,0.505,5,GZMB,0.505,GZMA,0.312,IKZF3,1,
0,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
1,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
3,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
4,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
5,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
2,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
6,SRGN,0.505,5,GZMB,0.505,MALAT1,0.01,CEBPZ,0.198,
5,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
4,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
1,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
6,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
0,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
2,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
3,SRGN,0.505,5,GZMB,0.505,RPS24,0.056,ESR1,0.01,
4,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
0,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
5,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
3,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
1,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
6,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
2,SRGN,0.505,5,GZMB,0.505,TMSB10,0.231,CASZ1,0.023,
0,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
1,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
5,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
3,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
4,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
2,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
6,SRGN,0.505,5,GZMB,0.505,TMSB4X,0.371,TSHZ3,0.126,
