origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
7,THBS1,1,0,CD47,0.505,CD74,1,RELA,1,
7,THBS1,1,0,CD47,0.505,FAU,0.167,THAP4,0.208,
7,THBS1,1,0,CD47,0.505,MALAT1,0.051,ZEB1,0.556,
7,THBS1,1,0,CD47,0.505,RPL13,0.048,THAP4,0.208,
7,THBS1,1,0,CD47,0.505,RPS20,0.01,THAP4,0.208,
7,THBS1,1,0,CD47,0.505,RPS24,0.165,ESR1,0.01,
7,THBS1,1,3,CD47,0.381,ACTB,0.241,SRF,1,
7,THBS1,1,3,CD47,0.381,CCL5,1,PBX4,0.01,
7,THBS1,1,3,CD47,0.381,EEF1A1,0.01,MYNN,0.146,
7,THBS1,1,3,CD47,0.381,FAU,0.021,THAP7,0.308,
7,THBS1,1,3,CD47,0.381,MALAT1,0.158,ZEB1,0.295,
7,THBS1,1,3,CD47,0.381,MT-CO1,0.027,ZBTB20,0.075,
7,THBS1,1,3,CD47,0.381,TMSB4X,0.143,MAF,0.286,
1,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
3,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
1,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
6,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
6,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
7,SRGN,0.01,3,GZMB,0.01,ACTB,0.241,SRF,1,
2,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
5,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
4,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
0,SRGN,0.505,3,GZMB,0.01,ACTB,0.241,SRF,1,
7,SRGN,0.01,3,GZMB,0.01,CCL5,1,PBX4,0.01,
7,SRGN,0.01,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
3,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
0,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
2,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
5,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
6,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
3,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
4,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
6,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
1,SRGN,0.505,3,GZMB,0.01,CCL5,1,PBX4,0.01,
3,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
4,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
6,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
0,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
2,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
5,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
1,SRGN,0.505,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
0,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
7,SRGN,0.01,3,GZMB,0.01,EEF1A1,0.01,MYNN,0.146,
0,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
6,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
2,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
4,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
5,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
0,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
7,SRGN,0.01,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
1,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
3,SRGN,0.505,3,GZMB,0.01,FAU,0.021,THAP7,0.308,
0,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
2,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
5,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
6,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
3,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
1,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
4,SRGN,0.505,3,GZMB,0.01,MALAT1,0.158,ZEB1,0.295,
1,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
7,SRGN,0.01,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
5,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
4,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
2,SRGN,0.505,3,GZMB,0.01,MT-CO1,0.027,ZBTB20,0.075,
3,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
7,SRGN,0.01,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
5,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
4,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
2,SRGN,0.505,3,GZMB,0.01,TMSB4X,0.143,MAF,0.286,
7,THBS1,1,3,ITGA4,1,MALAT1,0.158,ZEB1,0.295,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,MALAT1,0.158,ZEB1,0.295,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,MT-CO1,0.027,ZBTB20,0.075,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,MT-CO1,0.027,ZBTB20,0.075,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,TMSB4X,0.143,MAF,0.286,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,TMSB4X,0.143,MAF,0.286,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,EEF1A1,0.01,MYNN,0.146,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,EEF1A1,0.01,MYNN,0.146,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,ACTB,0.241,SRF,1,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,ACTB,0.241,SRF,1,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,FAU,0.021,THAP7,0.308,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,FAU,0.021,THAP7,0.308,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,CCL5,1,PBX4,0.01,a4b7 complex is enriched in the population
7,THBS1,1,3,ITGA4,1,CCL5,1,PBX4,0.01,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGB1,0.259,TMSB4X,0.143,MAF,0.286,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGB1,0.259,EEF1A1,0.01,MYNN,0.146,a4b1 complex is enriched in the population
7,THBS1,1,3,ITGB1,0.259,MT-CO1,0.027,ZBTB20,0.075,a4b1 complex is enriched in the population
