origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
3,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
8,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
4,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
1,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
9,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
2,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
6,SRGN,0.505,4,GZMB,0.505,ACTB,0.199,TCFL5,0.455,
6,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
1,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
3,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
8,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
4,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
9,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
2,SRGN,0.505,4,GZMB,0.505,B2M,0.904,ZNF277,0.728,
1,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
6,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
4,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
8,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
9,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
2,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
3,SRGN,0.505,4,GZMB,0.505,EEF1A1,0.01,TP53,0.226,
4,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
2,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
8,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
1,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
3,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
9,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
6,SRGN,0.505,4,GZMB,0.505,HLA-B,0.36,HIVEP2,0.162,
8,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
4,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
3,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
1,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
2,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
9,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
6,SRGN,0.505,4,GZMB,0.505,MALAT1,1,ZNF318,1,
1,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
4,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
3,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
6,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
9,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
2,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
8,SRGN,0.505,4,GZMB,0.505,MT-CO1,0.143,ZNF227,0.569,
6,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
2,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
8,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
3,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
1,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
4,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
9,SRGN,0.505,4,GZMB,0.505,TMSB4X,0.042,ESR2,0.01,
6,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
2,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
1,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
8,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
9,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
3,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
4,SRGN,0.505,6,GZMB,0.505,B2M,0.708,SP110,0.344,
3,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
1,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
9,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
2,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
6,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
8,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
4,SRGN,0.505,6,GZMB,0.505,EEF1A1,0.547,ZNF207,0.624,
9,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
6,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
1,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
4,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
2,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
3,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
8,SRGN,0.505,6,GZMB,0.505,HLA-B,0.225,ZNF275,0.019,
6,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
1,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
8,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
2,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
3,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
4,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
9,SRGN,0.505,6,GZMB,0.505,MALAT1,1,ZNF318,0.073,
6,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
1,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
8,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
4,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
9,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
2,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
3,SRGN,0.505,6,GZMB,0.505,RPL10,0.179,MYBL1,0.403,
6,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
9,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
8,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
1,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
4,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
2,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
3,SRGN,0.505,6,GZMB,0.505,RPL13,0.051,ZNF771,0.01,
6,SRGN,0.505,6,GZMB,0.505,RPL41,0.298,NFAT5,0.145,
9,SRGN,0.505,6,GZMB,0.505,RPL41,0.298,NFAT5,0.145,
