origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
2,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
1,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
4,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
10,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
5,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
3,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
9,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
6,SRGN,0.505,9,GZMB,0.505,B2M,1,USF1,0.569,
9,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
4,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
2,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
1,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
10,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
5,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
3,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
6,SRGN,0.505,9,GZMB,0.505,EEF1A1,0.903,ZNF581,1,
10,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
1,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
4,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
5,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
2,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
6,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
3,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
9,SRGN,0.505,9,GZMB,0.505,HLA-B,0.344,ELF4,0.622,
1,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
2,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
3,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
10,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
5,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
4,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
9,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
6,SRGN,0.505,9,GZMB,0.505,MALAT1,0.556,ZNF318,0.01,
4,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
6,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
9,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
5,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
2,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
1,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
10,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
3,SRGN,0.505,9,GZMB,0.505,MT-CO1,0.088,ZNF227,0.316,
5,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
4,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
10,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
6,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
1,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
9,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
2,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
3,SRGN,0.505,9,GZMB,0.505,RPL10,0.361,ZNF16,0.266,
10,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
2,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
1,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
4,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
5,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
6,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
3,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
9,SRGN,0.505,9,GZMB,0.505,RPL13,0.01,ZNF770,0.5,
10,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
5,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
6,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
1,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
4,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
2,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
9,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
3,SRGN,0.505,9,GZMB,0.505,RPLP1,0.149,THAP4,0.806,
