origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
10,THBS1,0.01,0,CD47,0.082,B2M,0.447,ELF4,0.152,
10,THBS1,0.01,0,CD47,0.082,RPL32,0.01,ZNF581,0.261,
10,THBS1,0.01,0,CD47,0.082,EEF1A1,0.904,HMGN3,1,
10,THBS1,0.01,0,CD47,0.082,RPLP1,0.282,ZNF581,0.261,
10,THBS1,0.01,0,CD47,0.082,MALAT1,1,ZNF318,0.156,
10,THBS1,0.01,0,CD47,0.082,RPS12,0.355,BRF2,0.093,
10,THBS1,0.01,0,CD47,0.082,RPL10,0.419,ZNF595,0.01,
10,THBS1,0.01,0,CD47,0.082,RPL13,0.384,ZNF787,0.132,
10,THBS1,0.01,0,CD47,0.082,RPS18,0.06,ZNF581,0.261,
10,THBS1,0.01,0,ITGA4,0.01,MALAT1,1,ZNF318,0.156,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,RPLP1,0.282,ZNF581,0.261,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,B2M,0.447,ELF4,0.152,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,RPL13,0.384,ZNF787,0.132,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,RPL10,0.419,ZNF595,0.01,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,EEF1A1,0.904,HMGN3,1,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,RPL32,0.01,ZNF581,0.261,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,RPS18,0.06,ZNF581,0.261,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGA4,0.01,RPS12,0.355,BRF2,0.093,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGB1,1,MALAT1,1,ZNF318,0.156,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGB1,1,RPL10,0.419,ZNF595,0.01,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGB1,1,RPL32,0.01,ZNF581,0.261,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGB1,1,RPLP1,0.282,ZNF581,0.261,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGB1,1,RPL13,0.384,ZNF787,0.132,a4b1 complex is enriched in the population
10,THBS1,0.01,0,ITGB1,1,RPS12,0.355,BRF2,0.093,a4b1 complex is enriched in the population
