origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
11,COL4A1,0.01,11,CD44,1,TMSB4X,1,NFATC4,0.01,
11,COL4A1,0.01,11,CD44,1,TPPP3,0.01,NFIX,1,
11,IGFBP3,1,11,EGFR,0.206,TMSB4X,1,NFATC4,0.01,
11,IGFBP3,1,11,EGFR,0.206,TPPP3,0.01,NFIX,1,
11,COL4A1,0.01,11,ITGA2,0.196,TPPP3,0.01,NFIX,1,a2b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGA2,0.196,TMSB4X,1,NFATC4,0.01,a2b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGA3,0.083,TPPP3,0.01,NFIX,1,a3b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGA3,0.083,TMSB4X,1,NFATC4,0.01,a3b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGA6,0.012,TMSB4X,1,NFATC4,0.01,a6b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGA6,0.012,TMSB4X,1,NFATC4,0.01,a6b4 complex is enriched in the population
11,COL4A1,0.01,11,ITGA6,0.012,TPPP3,0.01,NFIX,1,a6b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGA6,0.012,TPPP3,0.01,NFIX,1,a6b4 complex is enriched in the population
11,COL4A1,0.01,11,ITGB1,0.01,TPPP3,0.01,NFIX,1,a2b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGB1,0.01,TPPP3,0.01,NFIX,1,a6b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGB1,0.01,TPPP3,0.01,NFIX,1,a3b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGB1,0.01,TMSB4X,1,NFATC4,0.01,a2b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGB1,0.01,TMSB4X,1,NFATC4,0.01,a6b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGB1,0.01,TMSB4X,1,NFATC4,0.01,a3b1 complex is enriched in the population
11,COL4A1,0.01,11,ITGB4,0.533,TMSB4X,1,NFATC4,0.01,a6b4 complex is enriched in the population
11,COL4A1,0.01,11,ITGB4,0.533,TPPP3,0.01,NFIX,1,a6b4 complex is enriched in the population
11,COL4A1,0.01,11,ITGB5,0.075,TMSB4X,1,NFATC4,0.01,
11,COL4A1,0.01,11,ITGB5,0.075,TPPP3,0.01,NFIX,1,
11,COL4A1,0.01,11,ITGB8,0.225,TMSB4X,1,NFATC4,0.01,
11,COL4A1,0.01,11,ITGB8,0.225,TPPP3,0.01,NFIX,1,
11,IGFBP3,1,11,PRKDC,0.039,TMSB4X,1,NFATC4,0.01,
11,IGFBP3,1,11,PRKDC,0.039,TPPP3,0.01,NFIX,1,
11,COL4A1,0.01,11,SDC1,0.424,TMSB4X,1,NFATC4,0.01,
11,COL4A1,0.01,11,SDC1,0.424,TPPP3,0.01,NFIX,1,
11,COL4A1,0.01,11,SDC4,0.785,TMSB4X,1,NFATC4,0.01,
11,COL4A1,0.01,11,SDC4,0.785,TPPP3,0.01,NFIX,1,
12,FN1,1,12,CCN2,0.113,MGP,0.206,FOXC1,1,
12,FN1,1,12,CCN2,0.113,TPM2,0.01,MYC,0.01,
12,FN1,1,12,CCN2,0.113,TAGLN,0.643,FOXC1,1,
12,FN1,1,12,CCN2,0.113,VIM,1,FOXC1,1,
12,FN1,1,12,CD44,0.259,TPM2,0.01,MYC,0.01,
12,COL4A1,0.124,12,CD44,0.259,MGP,0.206,FOXC1,1,
