origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
1,FN1,0.946,1,CCN2,0.468,COL1A1,1,IL6,0.019,
1,FN1,0.946,1,CCN2,0.468,COL1A2,0.382,SOX21,0.01,
1,FN1,0.946,1,CCN2,0.468,COL3A1,0.398,NFIX,1,
1,FN1,0.946,1,CCN2,0.468,IGHG1,0.454,AR,0.01,
1,FN1,0.946,1,CCN2,0.468,SPARC,0.01,NFIX,1,
1,FN1,0.946,1,CD44,0.605,COL1A1,1,IL6,0.019,
1,COL4A1,0.389,1,CD44,0.605,COL1A1,1,IL6,0.019,
1,LAMC1,0.087,1,CD44,0.605,COL1A1,1,IL6,0.019,
1,COL6A3,1,1,CD44,0.605,COL1A1,1,IL6,0.019,
1,COL6A3,1,1,CD44,0.605,COL1A2,0.382,SOX21,0.01,
1,FN1,0.946,1,CD44,0.605,COL1A2,0.382,SOX21,0.01,
1,LAMC1,0.087,1,CD44,0.605,COL1A2,0.382,SOX21,0.01,
1,COL4A1,0.389,1,CD44,0.605,COL1A2,0.382,SOX21,0.01,
1,FN1,0.946,1,CD44,0.605,COL3A1,0.398,NFIX,1,
1,COL6A3,1,1,CD44,0.605,COL3A1,0.398,NFIX,1,
1,LAMC1,0.087,1,CD44,0.605,COL3A1,0.398,NFIX,1,
1,COL4A1,0.389,1,CD44,0.605,COL3A1,0.398,NFIX,1,
1,COL4A1,0.389,1,CD44,0.605,IGHG1,0.454,AR,0.01,
1,FN1,0.946,1,CD44,0.605,IGHG1,0.454,AR,0.01,
1,COL6A3,1,1,CD44,0.605,IGHG1,0.454,AR,0.01,
1,LAMC1,0.087,1,CD44,0.605,IGHG1,0.454,AR,0.01,
1,COL6A3,1,1,CD44,0.605,SPARC,0.01,NFIX,1,
1,COL4A1,0.389,1,CD44,0.605,SPARC,0.01,NFIX,1,
1,FN1,0.946,1,CD44,0.605,SPARC,0.01,NFIX,1,
1,LAMC1,0.087,1,CD44,0.605,SPARC,0.01,NFIX,1,
1,CCN2,0.439,1,FN1,1,COL1A1,1,IL6,0.019,
1,FN1,0.946,1,FN1,1,COL1A1,1,IL6,0.019,
1,CCN2,0.439,1,FN1,1,COL1A2,0.382,SOX21,0.01,
1,FN1,0.946,1,FN1,1,COL1A2,0.382,SOX21,0.01,
1,CCN2,0.439,1,FN1,1,COL3A1,0.398,NFIX,1,
1,FN1,0.946,1,FN1,1,COL3A1,0.398,NFIX,1,
1,FN1,0.946,1,FN1,1,IGHG1,0.454,AR,0.01,
1,CCN2,0.439,1,FN1,1,IGHG1,0.454,AR,0.01,
1,CCN2,0.439,1,FN1,1,SPARC,0.01,NFIX,1,
1,FN1,0.946,1,FN1,1,SPARC,0.01,NFIX,1,
1,COL6A3,1,1,ITGB1,0.078,COL1A1,1,IL6,0.019,
1,COL4A1,0.389,1,ITGB1,0.078,COL1A1,1,IL6,0.019,
1,LAMC1,0.087,1,ITGB1,0.078,COL1A1,1,IL6,0.019,
1,FN1,0.946,1,ITGB1,0.078,COL1A1,1,IL6,0.019,
1,FN1,0.946,1,ITGB1,0.078,COL1A2,0.382,SOX21,0.01,
1,LAMC1,0.087,1,ITGB1,0.078,COL1A2,0.382,SOX21,0.01,
1,COL6A3,1,1,ITGB1,0.078,COL1A2,0.382,SOX21,0.01,
1,COL4A1,0.389,1,ITGB1,0.078,COL1A2,0.382,SOX21,0.01,
1,FN1,0.946,1,ITGB1,0.078,COL3A1,0.398,NFIX,1,
1,COL4A1,0.389,1,ITGB1,0.078,COL3A1,0.398,NFIX,1,
1,LAMC1,0.087,1,ITGB1,0.078,COL3A1,0.398,NFIX,1,
1,COL6A3,1,1,ITGB1,0.078,COL3A1,0.398,NFIX,1,
1,COL6A3,1,1,ITGB1,0.078,IGHG1,0.454,AR,0.01,
1,COL4A1,0.389,1,ITGB1,0.078,IGHG1,0.454,AR,0.01,
1,FN1,0.946,1,ITGB1,0.078,IGHG1,0.454,AR,0.01,
1,LAMC1,0.087,1,ITGB1,0.078,IGHG1,0.454,AR,0.01,
1,COL4A1,0.389,1,ITGB1,0.078,SPARC,0.01,NFIX,1,
1,LAMC1,0.087,1,ITGB1,0.078,SPARC,0.01,NFIX,1,
1,COL6A3,1,1,ITGB1,0.078,SPARC,0.01,NFIX,1,
