origin.population,ECM.component,ECM.value,receiving.population,ECM.receptor,receptor.value,target.gene,target.value,TF,TF.value,annotation
0,LTBP4,0.01,0,CACNA1A,0.416,ATP1B1,0.609,ESRRG,0.01,
0,LTBP4,0.01,0,CACNA1A,0.416,DNM1,0.035,PRDM8,0.01,
0,LTBP4,0.01,0,CACNA1A,0.416,RTN1,0.01,RORB,0.01,
0,LTBP4,0.01,0,CACNA1A,0.416,SLC17A7,0.216,EBF2,0.01,
0,LTBP4,0.01,0,CACNA1A,0.416,SNAP25,1,POU3F3,1,
0,AGRN,1,0,DAG1,0.01,ATP1B1,0.609,ESRRG,0.01,
0,AGRN,1,0,DAG1,0.01,DNM1,0.035,PRDM8,0.01,
0,AGRN,1,0,DAG1,0.01,RTN1,0.01,RORB,0.01,
0,AGRN,1,0,DAG1,0.01,SLC17A7,0.216,EBF2,0.01,
0,AGRN,1,0,DAG1,0.01,SNAP25,1,POU3F3,1,
0,SLIT1,0.484,0,GPC1,0.105,ATP1B1,0.609,ESRRG,0.01,
0,SLIT2,0.454,0,GPC1,0.105,ATP1B1,0.609,ESRRG,0.01,
0,SLIT1,0.484,0,GPC1,0.105,DNM1,0.035,PRDM8,0.01,
0,SLIT2,0.454,0,GPC1,0.105,DNM1,0.035,PRDM8,0.01,
0,SLIT2,0.454,0,GPC1,0.105,RTN1,0.01,RORB,0.01,
0,SLIT1,0.484,0,GPC1,0.105,RTN1,0.01,RORB,0.01,
0,SLIT2,0.454,0,GPC1,0.105,SLC17A7,0.216,EBF2,0.01,
0,SLIT1,0.484,0,GPC1,0.105,SLC17A7,0.216,EBF2,0.01,
0,SLIT2,0.454,0,GPC1,0.105,SNAP25,1,POU3F3,1,
0,SLIT1,0.484,0,GPC1,0.105,SNAP25,1,POU3F3,1,
0,AGRN,1,0,ITGAV,0.183,ATP1B1,0.609,ESRRG,0.01,
0,AGRN,1,0,ITGAV,0.183,DNM1,0.035,PRDM8,0.01,
0,AGRN,1,0,ITGAV,0.183,RTN1,0.01,RORB,0.01,
0,AGRN,1,0,ITGAV,0.183,SLC17A7,0.216,EBF2,0.01,
0,AGRN,1,0,ITGAV,0.183,SNAP25,1,POU3F3,1,
0,AGRN,1,0,LRP1,0.1,ATP1B1,0.609,ESRRG,0.01,
0,AGRN,1,0,LRP1,0.1,DNM1,0.035,PRDM8,0.01,
0,AGRN,1,0,LRP1,0.1,RTN1,0.01,RORB,0.01,
0,AGRN,1,0,LRP1,0.1,SLC17A7,0.216,EBF2,0.01,
0,AGRN,1,0,LRP1,0.1,SNAP25,1,POU3F3,1,
0,AGRN,1,0,LRP8,0.171,ATP1B1,0.609,ESRRG,0.01,
0,AGRN,1,0,LRP8,0.171,DNM1,0.035,PRDM8,0.01,
0,AGRN,1,0,LRP8,0.171,RTN1,0.01,RORB,0.01,
0,AGRN,1,0,LRP8,0.171,SLC17A7,0.216,EBF2,0.01,
0,AGRN,1,0,LRP8,0.171,SNAP25,1,POU3F3,1,
0,AGRN,1,0,NCAM1,0.335,ATP1B1,0.609,ESRRG,0.01,
0,AGRN,1,0,NCAM1,0.335,DNM1,0.035,PRDM8,0.01,
0,AGRN,1,0,NCAM1,0.335,RTN1,0.01,RORB,0.01,
0,AGRN,1,0,NCAM1,0.335,SLC17A7,0.216,EBF2,0.01,
